Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Dominican Republic,DOM,-5.454312395,0.944138889,11.22093274,7.364513042,2.600354268,5.685430737,5.977825114,8.885269066,6.714477712,5.940049136,4.66176228,2.459516368,4.495103403,-1.345706185,2.570134279,9.428236947,9.174355406,7.415951715,3.209504262,0.946155168,8.33965106,3.133423003,2.717367897,4.875205093,7.636031824,7.033371069,6.612208223,4.551815138
Algeria,DZA,0.80000058,-1.200000584,1.800002301,-2.100000759,-0.899996549,3.79999479,4.09999847,1.099999938,5.100003611,3.200001551,3.819678496,3.008395466,5.60932319,7.201872244,4.301624264,5.907791268,1.684488319,3.372875154,2.360134861,1.632243838,3.634145353,2.891865995,3.374768651,2.767638867,3.789121212,3.763466958,3.3,1.7
East Asia & Pacific (excluding high income),EAP,5.406076809,7.939251785,10.76401671,10.89117718,10.65047517,9.728391983,8.941538947,7.031866796,1.755280746,6.112823735,7.506141581,6.708906652,7.856707556,8.72442153,8.937314063,9.717752275,10.77609317,12.16360778,8.434676974,7.697299,9.778051828,8.45933628,7.507055058,7.193213626,6.761650304,6.492873594,6.332613497,6.583177307
Early-demographic dividend,EAR,5.899035822,5.167441175,4.392368442,3.505528089,2.936148573,2.720054747,5.51381461,4.745487282,1.901579426,1.502283743,4.47255305,0.945741164,1.578113497,4.751603545,6.711472906,6.323683423,6.319507264,6.208224281,3.58513499,0.704366667,6.464632154,5.23193225,4.233965537,4.305662775,4.015277276,4.659343835,4.53092925,4.61047763
East Asia & Pacific,EAS,5.104187208,4.444856106,3.427711729,3.155388134,4.313526963,5.109730535,5.087374265,3.469700728,-0.095792769,2.991669675,4.882570716,2.676593791,3.60676112,4.25506541,5.142035947,5.049944848,5.540111625,6.46259337,3.520521406,1.391998372,7.065366062,4.616971781,4.682202389,4.749631862,4.127668998,4.16457268,4.105563478,4.552451877
Europe & Central Asia (excluding high income),ECA,-1.407043384,-5.235872956,-10.42901526,-5.48473645,-10.45295251,-1.219325038,0.049565179,2.690228475,-1.727760698,2.108955533,8.010578767,2.62261396,5.47611844,6.829839052,8.276477813,7.131475314,8.132260745,7.69251887,4.362759016,-5.994603258,5.166788503,6.556370975,3.638076192,4.022562328,2.2121431,0.566405766,1.505102375,3.989558844
Europe & Central Asia,ECS,2.322463868,0.440616967,-0.604597085,-0.838559987,1.077002827,2.157816555,1.77160334,2.974540853,2.478974156,2.905574848,4.300624328,2.201226925,1.745457035,1.871561939,3.247895068,2.75862045,3.934956175,3.702042972,1.005897999,-4.468039748,2.577869633,2.404697901,0.291667621,0.892296959,1.833802277,1.968127006,1.822728052,2.594949652
Ecuador,ECU,3.679914053,4.291342398,2.114310675,1.973218079,4.258250468,2.252548774,1.731747514,4.327864764,3.266529404,-4.739385791,1.091801564,4.0156299,4.096776659,2.722877337,8.211020917,5.291308267,4.403526434,2.190063972,6.3571306,0.566491592,3.525298669,7.868140919,5.641962067,4.946511267,3.788868549,0.098872608,-1.576379183,2.998152934
"Egypt, Arab Rep.",EGY,5.70174926,1.078837266,4.431994172,2.900786557,3.973172322,4.642466699,4.98873054,5.491123819,4.036373365,6.105463321,5.367997672,3.53525197,2.370460092,3.19228475,4.0899404,4.478960164,6.853907786,7.090271001,7.157616776,4.673844855,5.14510637,1.779594033,2.215608782,2.185466054,2.91591188,4.372019078,4.346643456,4.181221
Euro area,EMU,3.57862937,2.65709612,1.41314914,-0.659037082,2.47128335,2.472742327,1.719925176,2.712197055,2.966342921,2.986398765,3.858590293,2.159483016,1.021776657,0.720839721,2.324469942,1.702872297,3.236758587,3.055285556,0.440132372,-4.517114542,2.084709719,1.605547544,-0.890487771,-0.24704271,1.333683054,2.085502446,1.800978124,2.366339651
